ID, ROBOT_X, ROBOT_Y, ANGLE
5, 1.01964, -0.739334, -0.154511
5, 1.01892, -0.739399, -0.154511
5, 1.02132, -0.738607, -0.1512
5, 1.02176, -0.738348, -0.1512
5, 1.02072, -0.739306, -0.153367
5, 1.02059, -0.739518, -0.153367
5, 1.02099, -0.739752, -0.153123
5, 1.02106, -0.739983, -0.153123
5, 1.02137, -0.739201, -0.139226
5, 1.02153, -0.739057, -0.139226
5, 1.02114, -0.73847, -0.150927
5, 1.0211, -0.7382, -0.150927
5, 1.02145, -0.738274, -0.147254
5, 1.02155, -0.738108, -0.147254
5, 1.02062, -0.740048, -0.140537
5, 1.02033, -0.740669, -0.140537
5, 1.02267, -0.738476, -0.154533
5, 1.0234, -0.738034, -0.154533
5, 1.02078, -0.73928, -0.159037
5, 1.02025, -0.739466, -0.159037
5, 1.02152, -0.738983, -0.149599
5, 1.02167, -0.73892, -0.149599
5, 1.02059, -0.739154, -0.148082
5, 1.02028, -0.739202, -0.148082
5, 1.02106, -0.739779, -0.15031
5, 1.02115, -0.74001, -0.15031
5, 1.02077, -0.739276, -0.154375
5, 1.02062, -0.739013, -0.154375
5, 1.02107, -0.739601, -0.156523
5, 1.02118, -0.739723, -0.156523
5, 1.0215, -0.738671, -0.149067
5, 1.02169, -0.738349, -0.149067
5, 1.02035, -0.739486, -0.15533
5, 1.01999, -0.739688, -0.15533
5, 1.02122, -0.739685, -0.150612
5, 1.02143, -0.739822, -0.150612
5, 1.02073, -0.738552, -0.152171
5, 1.02061, -0.738165, -0.152171
5, 1.0204, -0.738861, -0.149391
5, 1.02025, -0.738861, -0.149391
5, 1.02073, -0.739123, -0.149993
5, 1.0208, -0.739208, -0.149993
5, 1.0214, -0.740743, -0.150433
5, 1.02163, -0.741282, -0.150433
5, 1.02139, -0.738886, -0.146315
5, 1.02147, -0.738432, -0.146315
5, 1.02039, -0.738273, -0.145461
5, 1.02006, -0.7379, -0.145461
5, 1.02065, -0.739931, -0.153413
5, 1.02064, -0.740407, -0.153413
5, 1.02088, -0.739052, -0.149492
5, 1.02096, -0.738884, -0.149492
5, 1.02255, -0.737303, -0.155796
5, 1.02312, -0.73668, -0.155796
5, 1.02189, -0.738308, -0.150107
5, 1.02184, -0.738453, -0.150107
5, 1.02184, -0.738453, -0.150107
5, 1.02302, -0.737835, -0.153514
5, 1.02096, -0.738481, -0.147007
5, 1.02096, -0.738481, -0.147007
5, 1.02052, -0.738618, -0.147007
5, 1.02044, -0.738822, -0.15364
5, 1.02044, -0.738822, -0.15364
5, 1.02002, -0.738859, -0.15364
5, 1.02076, -0.739751, -0.146558
5, 1.02076, -0.739751, -0.146558
5, 1.02051, -0.739563, -0.152696
5, 1.02043, -0.739645, -0.152696
5, 1.02131, -0.739341, -0.150124
5, 1.02077, -0.739271, -0.152532
5, 1.02068, -0.739213, -0.152532
5, 1.02213, -0.738769, -0.144007
5, 1.02267, -0.73855, -0.144007
5, 1.0221, -0.737777, -0.149004
5, 1.02222, -0.737343, -0.149004
5, 1.02109, -0.738959, -0.146712
5, 1.02073, -0.739308, -0.146712
5, 1.02194, -0.737719, -0.159198
5, 1.02217, -0.737338, -0.159198
5, 1.02127, -0.738613, -0.149145
5, 1.02109, -0.738842, -0.149145
5, 1.02185, -0.739406, -0.162186
5, 1.02201, -0.739744, -0.162186
5, 1.01995, -0.739527, -0.155646
5, 1.01995, -0.739527, -0.155646
5, 1.01935, -0.739664, -0.155646
5, 1.0228, -0.738801, -0.155024
5, 1.02087, -0.739167, -0.15647
5, 1.02055, -0.739197, -0.15647
5, 1.02077, -0.73982, -0.153461
5, 1.02066, -0.740026, -0.153461
5, 1.02122, -0.738952, -0.15407
5, 1.02133, -0.738757, -0.15407
5, 1.02138, -0.739124, -0.157903
5, 1.02146, -0.739115, -0.157903
5, 1.02079, -0.739261, -0.147714
5, 1.0206, -0.73931, -0.147714
5, 1.02076, -0.739279, -0.15603
5, 1.0207, -0.7393, -0.15603
5, 1.02356, -0.738224, -0.150703
5, 1.0245, -0.737867, -0.150703
5, 1.0213, -0.738902, -0.153967
5, 1.02084, -0.739018, -0.153967
5, 1.02171, -0.738461, -0.149016
5, 1.02171, -0.738339, -0.149016
5, 1.02025, -0.739451, -0.154175
5, 1.01969, -0.73979, -0.154175
5, 1.02093, -0.739623, -0.156689
5, 1.021, -0.73976, -0.156689
5, 1.02157, -0.73835, -0.154413
5, 1.0218, -0.737994, -0.154413
5, 1.02111, -0.73892, -0.154714
5, 1.02102, -0.739006, -0.154714
5, 1.02096, -0.738675, -0.149094
5, 1.02088, -0.738609, -0.149094
5, 1.02061, -0.738454, -0.155738
5, 1.02046, -0.738354, -0.155738
5, 1.0209, -0.738893, -0.148083
5, 1.02096, -0.739015, -0.148083
5, 1.02121, -0.73861, -0.151877
5, 1.02132, -0.738558, -0.151877
5, 1.02091, -0.738698, -0.146617
5, 1.02086, -0.738707, -0.146617
5, 1.02088, -0.739229, -0.157297
5, 1.02085, -0.739418, -0.157297
5, 1.02191, -0.738401, -0.152652
5, 1.02227, -0.738166, -0.152652
5, 1.02221, -0.739308, -0.15717
5, 1.02243, -0.739554, -0.15717
5, 1.0218, -0.738852, -0.152363
5, 1.02173, -0.738768, -0.152363
5, 1.02228, -0.737904, -0.136628
5, 1.02243, -0.737533, -0.136628
5, 1.02091, -0.738435, -0.14897
5, 1.02048, -0.738503, -0.14897
5, 1.02008, -0.738226, -0.155905
5, 1.01964, -0.738174, -0.155905
5, 1.02122, -0.738395, -0.15233
5, 1.02145, -0.738432, -0.15233
5, 1.02098, -0.739736, -0.155743
5, 1.02098, -0.74015, -0.155743
5, 1.02209, -0.73861, -0.153746
5, 1.02244, -0.738381, -0.153746
5, 1.02076, -0.739271, -0.153844
5, 1.02048, -0.739395, -0.153844
5, 1.02149, -0.739527, -0.15356
5, 1.02159, -0.739647, -0.15356
5, 1.0204, -0.7379, -0.14838
5, 1.02059, -0.73888, -0.141058
5, 1.02065, -0.739385, -0.141058
5, 1.0198, -0.739507, -0.152799
5, 1.01935, -0.739601, -0.152799
5, 1.02065, -0.739183, -0.153766
5, 1.02131, -0.738982, -0.153766
5, 1.0212, -0.73877, -0.14609
5, 1.02123, -0.738619, -0.14609
5, 1.02127, -0.739464, -0.15239
5, 1.02133, -0.739948, -0.15239
5, 1.02141, -0.74026, -0.15239
5, 1.02182, -0.739556, -0.148678
5, 1.02199, -0.739568, -0.148678
5, 1.02017, -0.738969, -0.15375
5, 1.02117, -0.737944, -0.154864
5, 1.02166, -0.737338, -0.154864
5, 1.02193, -0.736807, -0.154864
5, 1.02073, -0.739902, -0.149288
5, 1.02055, -0.739698, -0.14785
5, 1.02036, -0.73976, -0.14785
5, 1.02087, -0.738872, -0.151157
5, 1.02111, -0.738433, -0.151157
