ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT, CHANGE_STATE
0,0.562,-2.384,1.519,26,25.54,-20.24,-29.22,0.564256,-2.44412,1.51038,2,0, 2022-12-15.11:13:18,199,
0,0.565,-2.373,1.5218,26.69,26.92,-21.39,-30.14,0.566461,-2.43816,1.51038,2,0, 2022-12-15.11:13:18,202,
0,0.566,-2.369,1.523,27.38,27.15,-21.62,-29.68,0.568969,-2.43267,1.51038,2,0, 2022-12-15.11:13:18,203,
0,0.571,-2.347,1.5283,26.69,25.31,-20.47,-29.68,0.571332,-2.42659,1.51038,2,0, 2022-12-15.11:13:18,208,
0,0.573,-2.34,1.5309,26.46,26,-20.93,-30.37,0.571924,-2.41271,1.51485,2,0, 2022-12-15.11:13:18,209,
0,0.574,-2.336,1.5321,26.92,25.77,-20.47,-30.14,0.572967,-2.40565,1.51485,2,0, 2022-12-15.11:13:18,210,
0,0.577,-2.325,1.5373,27.84,26.69,-20.01,-29.91,0.574408,-2.39919,1.51485,2,0, 2022-12-15.11:13:18,213,
0,0.579,-2.314,1.5393,27.38,26,-19.32,-29.45,0.576209,-2.39112,1.51485,2,0, 2022-12-15.11:13:18,215,
0,0.581,-2.306,1.5406,26.46,24.85,-20.93,-28.99,0.579371,-2.38233,1.52539,2,0, 2022-12-15.11:13:18,217,
0,0.582,-2.303,1.5414,26.69,25.77,-21.16,-28.99,0.581265,-2.37506,1.52539,2,0, 2022-12-15.11:13:18,218,
0,0.584,-2.295,1.5433,27.15,26,-21.39,-28.53,0.584607,-2.36223,1.52539,2,0, 2022-12-15.11:13:18,219,
0,0.584,-2.292,1.5448,27.15,26.46,-21.62,-29.45,0.591849,-2.34023,1.53304,2,0, 2022-12-15.11:13:18,220,
0,0.588,-2.277,1.549,28.07,26.23,-21.16,-30.6,0.595022,-2.32937,1.53304,2,0, 2022-12-15.11:13:18,223,
0,0.592,-2.258,1.5517,28.3,26.46,-20.7,-29.91,0.594698,-2.331,1.53304,2,0, 2022-12-15.11:13:18,228,
0,0.593,-2.25,1.5526,27.61,25.54,-20.24,-29.68,0.596506,-2.32493,1.53304,2,0, 2022-12-15.11:13:18,229,
0,0.595,-2.243,1.5529,26.92,25.54,-20.93,-30.14,0.598828,-2.31713,1.53304,2,0, 2022-12-15.11:13:18,231,
0,0.596,-2.235,1.554,27.61,25.77,-21.16,-30.37,0.604432,-2.28497,1.54293,2,0, 2022-12-15.11:13:18,233,
0,0.599,-2.224,1.5529,27.15,26.46,-21.85,-29.91,0.607631,-2.27093,1.54293,2,0, 2022-12-15.11:13:18,235,
0,0.6,-2.216,1.5536,27.84,26.46,-22.08,-30.14,0.610181,-2.25974,1.54293,2,0, 2022-12-15.11:13:18,237,
0,0.603,-2.205,1.5536,28.76,27.15,-21.85,-31.52,0.613324,-2.24595,1.54293,2,0, 2022-12-15.11:13:18,239,
0,0.604,-2.201,1.5533,26.92,27.38,-21.62,-31.98,0.606822,-2.27335,1.54293,2,0, 2022-12-15.11:13:18,240,
0,0.605,-2.193,1.5537,26.23,27.61,-20.93,-31.98,0.607925,-2.26253,1.55657,2,0, 2022-12-15.11:13:18,242,
0,0.608,-2.182,1.5526,28.3,27.38,-20.7,-30.83,0.609027,-2.25587,1.55657,2,0, 2022-12-15.11:13:18,244,
0,0.61,-2.174,1.5514,28.76,26.23,-20.47,-30.6,0.608821,-2.25474,1.55657,2,0, 2022-12-15.11:13:18,246,
0,0.612,-2.167,1.5499,27.84,25.08,-21.62,-29.91,0.60942,-2.25064,1.55657,2,0, 2022-12-15.11:13:18,248,
0,0.613,-2.159,1.5495,27.84,25.08,-21.39,-30.37,0.610178,-2.24546,1.55657,2,0, 2022-12-15.11:13:18,249,
0,0.614,-2.155,1.5504,27.38,25.08,-21.62,-30.37,0.615456,-2.22933,1.55687,2,0, 2022-12-15.11:13:18,250,
0,0.614,-2.152,1.5512,27.15,25.77,-22.08,-30.83,0.617076,-2.22243,1.55687,2,0, 2022-12-15.11:13:18,251,
0,0.615,-2.148,1.5519,26.69,27.61,-22.31,-30.14,0.619087,-2.21386,1.55687,2,0, 2022-12-15.11:13:18,252,
0,0.619,-2.129,1.5589,28.76,27.61,-21.62,-30.6,0.621787,-2.20475,1.55687,2,0, 2022-12-15.11:13:18,0,
0,0.622,-2.117,1.56,29.45,26.46,-21.39,-30.6,0.62358,-2.19761,1.55687,2,0, 2022-12-15.11:13:18,2,
0,0.623,-2.109,1.5606,28.99,26.46,-20.47,-31.75,0.625901,-2.18081,1.55206,2,0, 2022-12-15.11:13:18,4,
0,0.624,-2.105,1.5606,28.3,26,-20.7,-31.29,0.630039,-2.15786,1.55206,2,0, 2022-12-15.11:13:18,5,
