ID, ROBOT_X, ROBOT_Y, ROBOT_W, GYRO_W, ODM_W, BOTH_W, VIS_W, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -1.368, -1.354, 0.0286, 0.02, 0.02, 0.02, 0.0244288, -1.47803, -1.34409, 0.0244288, 0.592918, 0.00319753, 0.0169804, 1, 1234
5, -1.362, -1.354, 0.0293, 0.02, 0.02, 0.02, 0.0244288, -1.47395, -1.34383, 0.0244288, 0.591821, 0.00313456, 0.0163051, 1, 1234
5, -1.347, -1.353, 0.0301, 0.02, 0.03, 0.02, 0.0244288, -1.46557, -1.34338, 0.0244288, 0.5895, 0.003042, 0.0159467, 1, 1234
5, -1.341, -1.353, 0.0298, 0.02, 0.02, 0.02, 0.0291612, -1.45818, -1.3402, 0.0291612, 0.588362, -0.000940025, 0.00128358, 1, 1234
5, -1.335, -1.353, 0.0308, 0.02, 0.03, 0.02, 0.0291612, -1.45479, -1.33965, 0.0291612, 0.5878, -0.00112627, -0.00479309, 1, 1234
5, -1.309, -1.352, 0.0323, 0.03, 0.03, 0.03, 0.0262879, -1.43413, -1.34016, 0.0262879, 0.58153, 0.000993177, 0.00287165, 1, 1234
5, -1.297, -1.351, 0.0329, 0.02, 0.03, 0.03, 0.0262879, -1.42237, -1.33954, 0.0262879, 0.578105, 0.000870873, 0.0049013, 1, 1234
5, -1.297, -1.351, 0.0329, 0.02, 0.03, 0.03, 0.0262879, -1.42237, -1.33954, 0.0262879, 0.578105, 0.000870873, 0.0049013, 1, 1234
5, -1.264, -1.35, 0.0314, 0.02, 0.03, 0.02, 0.031914, -1.39313, -1.33844, 0.031914, 0.570993, -0.0024704, -0.0123589, 1, 1234
5, -1.259, -1.35, 0.0316, 0.02, 0.03, 0.02, 0.031914, -1.38178, -1.33822, 0.031914, 0.567846, -0.0024197, -0.0129506, 1, 1234
5, -1.253, -1.35, 0.0316, 0.02, 0.03, 0.02, 0.0227503, -1.37004, -1.33838, 0.0227503, 0.562844, 0.00295654, 0.0147361, 1, 1234
5, -1.253, -1.35, 0.0316, 0.02, 0.03, 0.02, 0.0227503, -1.35884, -1.33831, 0.0227503, 0.559714, 0.00304019, 0.0147361, 1, 1234
5, -1.253, -1.35, 0.0316, 0.02, 0.03, 0.02, 0.0305009, -1.35307, -1.33757, 0.0305009, 0.559421, -0.00153529, -0.00679914, 1, 1234
5, -1.219, -1.349, 0.0335, 0.03, 0.03, 0.03, 0.0305009, -1.34793, -1.3372, 0.0305009, 0.558088, -0.00162363, -0.00861342, 1, 1234
5, -1.213, -1.349, 0.0334, 0.03, 0.03, 0.03, 0.0213498, -1.33473, -1.33632, 0.0213498, 0.552771, 0.00323582, 0.0178294, 1, 1234
5, -1.202, -1.348, 0.0338, 0.03, 0.03, 0.03, 0.0213498, -1.32725, -1.33581, 0.0213498, 0.550718, 0.00309838, 0.0171549, 1, 1234
5, -1.196, -1.348, 0.0337, 0.03, 0.03, 0.03, 0.0213498, -1.32075, -1.33543, 0.0213498, 0.548941, 0.00300376, 0.0165068, 1, 1234
5, -1.172, -1.347, 0.0314, 0.03, 0.03, 0.03, 0.0222175, -1.30444, -1.33632, 0.0222175, 0.544551, 0.00305908, 0.0138126, 1, 1234
5, -1.172, -1.347, 0.0314, 0.03, 0.03, 0.03, 0.0283812, -1.2879, -1.33577, 0.0283812, 0.540846, -0.000334292, -0.00162226, 1, 1234
5, -1.172, -1.347, 0.0314, 0.03, 0.03, 0.03, 0.0283812, -1.27461, -1.33532, 0.0283812, 0.537142, -0.00036346, -0.00193555, 1, 1234
5, -1.172, -1.347, 0.0314, 0.03, 0.03, 0.03, 0.0312783, -1.26619, -1.33473, 0.0312783, 0.535293, -0.00206632, -0.010754, 1, 1234
5, -1.128, -1.346, 0.0341, 0.03, 0.03, 0.03, 0.0312783, -1.25943, -1.33435, 0.0312783, 0.533454, -0.00213793, -0.0117604, 1, 1234
