ID," ROBOT_X"," ROBOT_Y"," ANGLE"
5," 2.09156"," -0.992617"," -0.0532041"
5," 2.09997"," -0.990552"," -0.0612917"
5," 2.11156"," -0.989906"," -0.0612917"
5," 2.12447"," -0.990003"," -0.0381383"
5," 2.13637"," -0.989618"," -0.0381383"
5," 2.14537"," -0.989692"," -0.0482475"
5," 2.15801"," -0.989359"," -0.0482475"
5," 2.16619"," -0.988599"," -0.0450025"
5," 2.17838"," -0.988081"," -0.0450025"
5," 2.1861"," -0.98819"," -0.0406164"
5," 2.19739"," -0.987874"," -0.0406164"
5," 2.2067"," -0.987749"," -0.0278679"
5," 2.21848"," -0.987466"," -0.0278679"
5," 2.22619"," -0.987539"," -0.0300158"
5," 2.23723"," -0.987373"," -0.0300158"
5," 2.24492"," -0.987441"," -0.0292846"
5," 2.25443"," -0.987356"," -0.0292846"
5," 2.25973"," -0.987872"," -0.0233793"
5," 2.26927"," -0.98802"," -0.0233793"
5," 2.27805"," -0.988233"," -0.0359624"
5," 2.28632"," -0.988378"," -0.0359624"
5," 2.2952"," -0.988387"," -0.0307453"
5," 2.30351"," -0.988492"," -0.0307453"
5," 2.31185"," -0.988585"," -0.0335464"
5," 2.31995"," -0.988675"," -0.0335464"
5," 2.32554"," -0.988976"," -0.0318888"
5," 2.33383"," -0.989158"," -0.0318888"
5," 2.34092"," -0.990742"," -0.0155221"
5," 2.34323"," -0.991359"," -0.0155221"
5," 2.35636"," -0.993124"," -0.0303176"
5," 2.36394"," -0.994088"," -0.0303176"
5," 2.36931"," -0.994602"," -0.0271677"
5," 2.37239"," -0.994815"," -0.0271677"
5," 2.38399"," -0.996072"," -0.0236305"
5," 2.38598"," -0.996298"," -0.0236305"
5," 2.3964"," -0.997702"," -0.00635661"
5," 2.40378"," -0.998603"," -0.00635661"
5," 2.40824"," -0.999235"," -0.00995457"
5," 2.4105"," -0.999457"," -0.00995457"
5," 2.42087"," -1.00086"," -0.0115602"
5," 2.42347"," -1.00127"," -0.0115602"
5," 2.43322"," -1.00266"," -0.000783274"
5," 2.43463"," -1.00288"," -0.000783274"
5," 2.44488"," -1.00446"," 0.0653356"
5," 2.44915"," -1.00364"," 0.200331"
5," 2.45415"," -1.00375"," 0.200331"
5," 2.45396"," -1.00245"," 0.200331"
5," 2.45771"," -0.998931"," 0.317709"
5," 2.45717"," -0.997787"," 0.317709"
5," 2.45863"," -0.992335"," 0.477763"
5," 2.45658"," -0.987301"," 0.619258"
5," 2.45656"," -0.98383"," 0.619258"
5," 2.45499"," -0.98248"," 0.619258"
5," 2.45221"," -0.975093"," 0.732525"
5," 2.45135"," -0.973493"," 0.732525"
5," 2.44809"," -0.964146"," 0.75792"
5," 2.4466"," -0.957358"," 0.793493"
5," 2.44501"," -0.951816"," 0.793493"
5," 2.44466"," -0.948926"," 0.793493"
5," 2.4443"," -0.93811"," 0.822948"
5," 2.44716"," -0.929341"," 0.843783"
5," 2.44784"," -0.922266"," 0.843783"
5," 2.45109"," -0.912221"," 0.894046"
5," 2.45278"," -0.904042"," 0.894046"
5," 2.45356"," -0.900663"," 0.894046"
5," 2.457"," -0.883675"," 0.930629"
5," 2.45854"," -0.872554"," 0.974074"
5," 2.46024"," -0.862799"," 0.974074"
5," 2.46219"," -0.851153"," 1.02326"
5," 2.46426"," -0.839127"," 1.02326"
5," 2.46529"," -0.827538"," 1.0629"
5," 2.46705"," -0.814369"," 1.0629"
5," 2.46726"," -0.805558"," 1.10587"
5," 2.46849"," -0.793231"," 1.10587"
5," 2.47002"," -0.781821"," 1.1329"
5," 2.4713"," -0.770488"," 1.1329"
5," 2.47328"," -0.756303"," 1.15957"
5," 2.47485"," -0.743766"," 1.15957"
5," 2.47503"," -0.732329"," 1.18415"
5," 2.47622"," -0.718098"," 1.18415"
5," 2.47666"," -0.703442"," 1.21459"
5," 2.47762"," -0.687951"," 1.21459"
5," 2.47785"," -0.672842"," 1.23438"
5," 2.47856"," -0.655207"," 1.23438"
5," 2.47788"," -0.642005"," 1.26812"
