X, Y, Z, Vx, Vy, Vz, T
2.842227130886159969e+00, -2.299262836097536677e+00, -5.317021998167294896e+02, 2.594981170898191358e+00, -2.435719904879896092e+00, -3.140385837042009687e+00, 5.971022224426269531e+01
2.808030907017838640e+00, -2.305610752193185675e+00, -5.320018474260115227e+02, 2.560999999999999943e+00, -2.428999999999999826e+00, 3.138799999999999812e+00, 5.975284194946289062e+01
2.764844679976608433e+00, -2.314845696037077794e+00, -5.323653406124374214e+02, 2.524999999999999911e+00, -2.427000000000000046e+00, -3.132800000000000029e+00, 5.979473352432250977e+01
2.721123757176902025e+00, -2.323182552335487649e+00, -5.327944339737396149e+02, 2.478229363944697727e+00, -2.423713804720103226e+00, -3.129996818676329173e+00, 5.983723640441894531e+01
2.676890901644769727e+00, -2.331498087832649002e+00, -5.332549856726345752e+02, 2.444219959535324005e+00, -2.426068157068303588e+00, -3.131108076255588735e+00, 5.987969040870666504e+01
2.637538288828772171e+00, -2.337208277873907392e+00, -5.335901621885205941e+02, 2.406049004767345956e+00, -2.425154455983775215e+00, -3.136077344398874533e+00, 5.992223620414733887e+01
2.598037930384464289e+00, -2.344144874750789587e+00, -5.335090959998241260e+02, 2.362222995735537179e+00, -2.421793048209944565e+00, 3.139026619823406694e+00, 5.996467876434326172e+01
2.553608026179804202e+00, -2.351306604833610869e+00, -5.335004141398698039e+02, 2.322951240972713549e+00, -2.425169397505293478e+00, -3.141347089825424099e+00, 6.000755333900451660e+01
2.513935418527502019e+00, -2.358269896929188203e+00, -5.336204154604843097e+02, 2.281881282662689525e+00, -2.422116630930326142e+00, 3.120785670638507980e+00, 6.005011773109436035e+01
2.470864778178460064e+00, -2.365159546100604526e+00, -5.337590902982885837e+02, 2.240042246833318540e+00, -2.422538864015260085e+00, 3.125053012846347844e+00, 6.009297227859497070e+01
2.428237540119283722e+00, -2.372487093381451917e+00, -5.337239663144955557e+02, 2.193772153175644224e+00, -2.419524172065152801e+00, 3.118456349204099975e+00, 6.013585281372070312e+01
2.390854346457429891e+00, -2.379319323940991993e+00, -5.334401370585397899e+02, 2.164067544488758266e+00, -2.420940659243534743e+00, 3.126034001659596662e+00, 6.017894268035888672e+01
